"","PlayerId","SystemConfiguration","NumberOfGoals","NumberOfOperatorsPreCompilation","NumberOfPredicatesPreCompilation","NumberOfOperatorsPostCompilation","NumberOfPredicatesPostCompilation","NumberOfObservationsInput","NumberOfPlayerActionsTaken","Runtime","PlanRecognitionPrecision","PlanRecognitionRecall","PlanRecognitionF1Score","PlanRecognitionLevenshteinDistance","GoalRecognitionPrecision","GoalRecognitionRecall","GoalRecognitionF1Score","GoalRecognitionLevenshteinDistance","IndexterCalculationTime"
"145",-1328595570," cognitive_STRICT",26,14,15,657,716,6,48,1330.706,0.224489795918367,0.132530120481928,0.166666666666667,243,-1,0,0,21,51.095
"146",-1328595570," cognitive_STRICT",26,14,15,658,716,6,49,431.118,0.142857142857143,0.0602409638554217,0.0847457627118644,264,-1,0,0,21,53.464
"147",-1328595570," cognitive_STRICT",26,14,15,657,716,6,50,418.644,0.142857142857143,0.0602409638554217,0.0847457627118644,270,-1,0,0,21,55.509
"148",-1328595570," cognitive_STRICT",26,14,15,659,716,6,51,1466.989,0.173076923076923,0.108433734939759,0.133333333333333,233,-1,0,0,21,56.031
"149",-1328595570," cognitive_STRICT",26,14,15,665,718,7,52,482.101,0.317073170731707,0.156626506024096,0.209677419354839,260,-1,0,0,21,56.927
"150",-1328595570," cognitive_STRICT",26,14,15,664,718,7,53,1643.053,0.18,0.108433734939759,0.135338345864662,243,-1,0,0,21,56.188
"151",-1328595570," cognitive_STRICT",26,14,15,663,718,7,54,421.283,0.147058823529412,0.0602409638554217,0.0854700854700855,247,-1,0,0,21,56.871
"152",-1328595570," cognitive_STRICT",26,14,15,662,718,7,55,20495.236,0.170731707317073,0.0843373493975904,0.112903225806452,251,-1,0,0,21,57.667
"153",-1328595570," cognitive_STRICT",26,14,15,662,718,7,56,3449.178,0.145833333333333,0.0843373493975904,0.106870229007634,241,-1,0,0,21,58.126
"154",-1328595570," cognitive_STRICT",26,14,15,662,718,7,57,1211.083,0.0882352941176471,0.036144578313253,0.0512820512820513,264,-1,0,0,21,59.53
"155",-1328595570," cognitive_STRICT",26,14,15,662,718,7,58,1641.258,0.191489361702128,0.108433734939759,0.138461538461538,249,-1,0,0,21,59.638
"156",-1328595570," cognitive_STRICT",26,14,15,662,718,7,59,2236.739,0.285714285714286,0.192771084337349,0.23021582733813,230,-1,0,0,21,61.2
"157",-1328595570," cognitive_STRICT",26,14,15,662,718,7,60,511.345,0.324324324324324,0.144578313253012,0.2,242,-1,0,0,21,64.177
"158",-1328595570," cognitive_STRICT",26,14,15,662,718,7,61,1804.165,0.333333333333333,0.180722891566265,0.234375,266,-1,0,0,21,67.65
"159",-1328595570," cognitive_STRICT",26,14,15,669,720,8,62,2813.713,0.153846153846154,0.120481927710843,0.135135135135135,220,-1,0,0,21,67.98
"160",-1328595570," cognitive_STRICT",26,14,15,670,720,8,63,567.666,0.155555555555556,0.0843373493975904,0.109375,223,-1,0,0,21,69.135
"161",-1328595570," cognitive_STRICT",26,14,15,670,720,8,64,1563.311,0.13953488372093,0.072289156626506,0.0952380952380952,243,-1,0,0,21,71.035
"162",-1328595570," cognitive_STRICT",26,14,15,670,720,8,65,1754.245,0.203703703703704,0.132530120481928,0.160583941605839,229,-1,0,0,21,71.041
"163",-1328595570," cognitive_STRICT",26,14,15,671,720,8,66,1758.14,0.222222222222222,0.144578313253012,0.175182481751825,237,-1,0,0,21,71.133
"164",-1328595570," cognitive_STRICT",26,14,15,671,720,8,67,511.809,0.372093023255814,0.192771084337349,0.253968253968254,210,-1,0,0,21,73.271
"165",-1328595570," cognitive_STRICT",26,14,15,671,720,8,68,1516.311,0.196078431372549,0.120481927710843,0.149253731343284,237,-1,0,0,21,70.375
"166",-1328595570," cognitive_STRICT",26,14,15,672,720,8,69,3210.929,0.150943396226415,0.0963855421686747,0.117647058823529,241,-1,0,0,21,76.602
"167",-1328595570," cognitive_STRICT",26,14,15,672,720,8,70,3173.776,0.150943396226415,0.0963855421686747,0.117647058823529,241,-1,0,0,21,74.993
"168",-1328595570," cognitive_STRICT",26,14,15,672,720,8,71,3163.483,0.150943396226415,0.0963855421686747,0.117647058823529,241,-1,0,0,21,73.577
"169",-1328595570," cognitive_STRICT",26,14,15,672,720,9,72,3162.129,0.150943396226415,0.0963855421686747,0.117647058823529,241,-1,0,0,21,75.123
